direction,direction_name,task,task_display_name,task_name,family,relationship,primary_direction,metric_name,minimal_metric,neural_mlp_metric,better_baseline,why,current_limit
C,Egocentric Vision & Interaction,cross_modal_retrieval,Cross-Modal Retrieval,Cross-modal retrieval,retrieval,diagnostic,C,MRR,0.26925966893,0.129997189865,minimal,"Tests whether synchronized modalities identify the same 4D moment, a prerequisite for reconstruction and world modeling.","Retrieval shows an alignment signal, not geometric reconstruction."
B,3D/4D Reconstruction & Neural Rendering,cross_modal_retrieval,Cross-Modal Retrieval,Cross-modal retrieval,retrieval,proxy,C,MRR,0.26925966893,0.129997189865,minimal,"Tests whether synchronized modalities identify the same 4D moment, a prerequisite for reconstruction and world modeling.","Retrieval shows an alignment signal, not geometric reconstruction."
D,Scene Reconstruction & World Modeling,cross_modal_retrieval,Cross-Modal Retrieval,Cross-modal retrieval,retrieval,proxy,C,MRR,0.26925966893,0.129997189865,minimal,"Tests whether synchronized modalities identify the same 4D moment, a prerequisite for reconstruction and world modeling.","Retrieval shows an alignment signal, not geometric reconstruction."
B,3D/4D Reconstruction & Neural Rendering,modality_reconstruction,Cross-Modal Reconstruction,Modality reconstruction,forecast,proxy,B,R2,-0.0152718989139,-0.0101714101342,neural_mlp,Predicts visual/depth state from non-target sensors as a weak reconstruction/world-model objective.,"Feature-vector reconstruction is not pixel, depth-map, mesh, NeRF, or Gaussian reconstruction."
D,Scene Reconstruction & World Modeling,modality_reconstruction,Cross-Modal Reconstruction,Modality reconstruction,forecast,proxy,B,R2,-0.0152718989139,-0.0101714101342,neural_mlp,Predicts visual/depth state from non-target sensors as a weak reconstruction/world-model objective.,"Feature-vector reconstruction is not pixel, depth-map, mesh, NeRF, or Gaussian reconstruction."
C,Egocentric Vision & Interaction,temporal_order,Temporal Order Verification,Temporal order verification,diagnostic,diagnostic,C,F1,0.53995157385,0.85201793722,neural_mlp,Checks whether features encode local time direction and task progression.,"Only local adjacent ordering, not long-horizon causal modeling."
D,Scene Reconstruction & World Modeling,temporal_order,Temporal Order Verification,Temporal order verification,diagnostic,diagnostic,C,F1,0.53995157385,0.85201793722,neural_mlp,Checks whether features encode local time direction and task progression.,"Only local adjacent ordering, not long-horizon causal modeling."
C,Egocentric Vision & Interaction,misalignment_detection,Multimodal Synchronization Detection,Cross-modal misalignment detection,diagnostic,diagnostic,C,F1,0.505169867061,0.715268225585,neural_mlp,"Detects temporal desynchronization, a key data-quality gate for multimodal reconstruction and world models.",Synthetic shifts diagnose alignment but do not solve calibration or mapping.
B,3D/4D Reconstruction & Neural Rendering,misalignment_detection,Multimodal Synchronization Detection,Cross-modal misalignment detection,diagnostic,diagnostic,C,F1,0.505169867061,0.715268225585,neural_mlp,"Detects temporal desynchronization, a key data-quality gate for multimodal reconstruction and world models.",Synthetic shifts diagnose alignment but do not solve calibration or mapping.
D,Scene Reconstruction & World Modeling,misalignment_detection,Multimodal Synchronization Detection,Cross-modal misalignment detection,diagnostic,diagnostic,C,F1,0.505169867061,0.715268225585,neural_mlp,"Detects temporal desynchronization, a key data-quality gate for multimodal reconstruction and world models.",Synthetic shifts diagnose alignment but do not solve calibration or mapping.
C,Egocentric Vision & Interaction,long_horizon_next_action,Long-Horizon Next-Action Forecasting,Long-horizon next-action forecasting,classification,direct,C,macro-F1,0.075,0.0654545454545,minimal,"Extends short-horizon intention prediction into longer activity futures, a key egocentric and world-model signal.","Evaluated from sample-supported future labels, not full open-world action generation."
D,Scene Reconstruction & World Modeling,long_horizon_next_action,Long-Horizon Next-Action Forecasting,Long-horizon next-action forecasting,classification,proxy,C,macro-F1,0.075,0.0654545454545,minimal,"Extends short-horizon intention prediction into longer activity futures, a key egocentric and world-model signal.","Evaluated from sample-supported future labels, not full open-world action generation."
C,Egocentric Vision & Interaction,next_subtask_forecast,Long-Horizon Next-Subtask Forecasting,Long-horizon next-subtask forecasting,classification,direct,C,macro-F1,0.0454545454545,0.0507246376812,neural_mlp,Measures whether the model can anticipate the next procedural phase rather than only the current frame state.,Subtask labels are constrained to the available annotation vocabulary.
D,Scene Reconstruction & World Modeling,next_subtask_forecast,Long-Horizon Next-Subtask Forecasting,Long-horizon next-subtask forecasting,classification,proxy,C,macro-F1,0.0454545454545,0.0507246376812,neural_mlp,Measures whether the model can anticipate the next procedural phase rather than only the current frame state.,Subtask labels are constrained to the available annotation vocabulary.
C,Egocentric Vision & Interaction,interaction_text_prediction,Interaction Text Prediction,Interaction text prediction,classification,direct,C,macro-F1,0.0444444444444,0.0380952380952,minimal,Connects egocentric observations to the natural-language interaction semantics carried by the annotation.,Public derived features retain hashed text targets; raw full text requires the official annotation source.
A,Human Modeling & Motion Understanding,interaction_text_prediction,Interaction Text Prediction,Interaction text prediction,classification,proxy,C,macro-F1,0.0444444444444,0.0380952380952,minimal,Connects egocentric observations to the natural-language interaction semantics carried by the annotation.,Public derived features retain hashed text targets; raw full text requires the official annotation source.
C,Egocentric Vision & Interaction,action_object_relation,Action-Object Relation Prediction,Action-object relation prediction,classification,direct,C,macro-F1,0,0,tie,Tests whether action recognition and object state are connected as a relational interaction representation.,Relation labels are derived from the public-sample annotation scope.
D,Scene Reconstruction & World Modeling,action_object_relation,Action-Object Relation Prediction,Action-object relation prediction,classification,proxy,C,macro-F1,0,0,tie,Tests whether action recognition and object state are connected as a relational interaction representation.,Relation labels are derived from the public-sample annotation scope.
D,Scene Reconstruction & World Modeling,object_set_forecast,Future Object-Set Forecasting,Future object-set forecasting,multi-label,direct,D,micro-F1,0.169398907104,0.197183098592,neural_mlp,Asks whether the current scene state supports predicting which objects will matter later.,"This is a set-level proxy, not a persistent 3D scene graph."
C,Egocentric Vision & Interaction,object_set_forecast,Future Object-Set Forecasting,Future object-set forecasting,multi-label,proxy,D,micro-F1,0.169398907104,0.197183098592,neural_mlp,Asks whether the current scene state supports predicting which objects will matter later.,"This is a set-level proxy, not a persistent 3D scene graph."
A,Human Modeling & Motion Understanding,imu_to_hand_pose,IMU-to-Hand Pose Reconstruction,IMU-to-hand pose reconstruction,regression,direct,A,MAE,0.042049407959,0.0425621494651,minimal,Measures human-motion reconstruction from wearable and motion cues.,Pose reconstruction is window-level and does not yet fit a full parametric hand/body model.
B,3D/4D Reconstruction & Neural Rendering,imu_to_hand_pose,IMU-to-Hand Pose Reconstruction,IMU-to-hand pose reconstruction,regression,proxy,A,MAE,0.042049407959,0.0425621494651,minimal,Measures human-motion reconstruction from wearable and motion cues.,Pose reconstruction is window-level and does not yet fit a full parametric hand/body model.
B,3D/4D Reconstruction & Neural Rendering,camera_view_sync_retrieval,Camera-View Synchronization Retrieval,Camera-view synchronization retrieval,retrieval,direct,B,MRR,0.494300484657,0.240866586566,minimal,Tests whether synchronized multi-view structure is recoverable across camera streams.,Retrieval checks view consistency but does not reconstruct geometry by itself.
D,Scene Reconstruction & World Modeling,camera_view_sync_retrieval,Camera-View Synchronization Retrieval,Camera-view synchronization retrieval,retrieval,proxy,B,MRR,0.494300484657,0.240866586566,minimal,Tests whether synchronized multi-view structure is recoverable across camera streams.,Retrieval checks view consistency but does not reconstruct geometry by itself.
C,Egocentric Vision & Interaction,time_to_transition,Time-to-Next-Transition Regression,Time-to-next-transition regression,regression,diagnostic,C,MAE frames,10.5373563766,10.5544939041,minimal,Measures temporal boundary awareness as a continuous timing target.,Regression is local to the annotated public sample timeline.
D,Scene Reconstruction & World Modeling,time_to_transition,Time-to-Next-Transition Regression,Time-to-next-transition regression,regression,diagnostic,C,MAE frames,10.5373563766,10.5544939041,minimal,Measures temporal boundary awareness as a continuous timing target.,Regression is local to the annotated public sample timeline.
